ticker,company,event_date,actual_date,event_type,day_gain_pct,volume_multiplier,price_above_ma20,ma20,signal_triggered,signal_rating,post_1d_return,post_5d_return,notes
SAVA,Cassava Sciences,20190909,2019-09-09,volume_spike,-12.86,6.51,True,1.2,False,NONE,0.0246,0.041,
SAVA,Cassava Sciences,20191202,2019-12-02,volume_spike,15.54,10.97,True,1.33,True,HIGH,-0.0058,-0.0234,
SAVA,Cassava Sciences,20191223,2019-12-23,volume_spike,59.56,10.7,True,1.82,True,HIGH,0.2674,0.4485,
SAVA,Cassava Sciences,20191224,2019-12-24,volume_spike,26.74,5.45,True,1.97,True,HIGH,-0.1143,0.5824,
SAVA,Cassava Sciences,20200103,2020-01-03,volume_spike,34.03,5.23,True,3.37,True,HIGH,-0.1057,-0.1554,
SAVA,Cassava Sciences,20200423,2020-04-23,volume_spike,31.95,6.32,True,5.07,True,HIGH,-0.026,0.0451,
SAVA,Cassava Sciences,20200515,2020-05-15,volume_spike,-73.86,17.72,False,7.24,False,NONE,0.0849,0.0047,
SAVA,Cassava Sciences,20200603,2020-06-03,volume_spike,67.65,12.5,False,4.36,True,MEDIUM,-0.2222,-0.2018,
SAVA,Cassava Sciences,20200812,2020-08-12,volume_spike,15.07,6.87,True,3.25,True,HIGH,-0.0446,0.0268,
SAVA,Cassava Sciences,20200914,2020-09-14,volume_spike,133.43,24.28,True,3.42,True,HIGH,-0.0942,0.2671,
SAVA,Cassava Sciences,20200918,2020-09-18,volume_spike,42.03,9.9,True,4.29,True,HIGH,-0.0248,0.139,
SAVA,Cassava Sciences,20201104,2020-11-04,volume_spike,25.57,11.29,True,9.95,True,HIGH,-0.0893,-0.0589,
SAVA,Cassava Sciences,20210113,2021-01-13,volume_spike,39.98,11.73,True,7.92,True,HIGH,-0.0847,0.055,
SAVA,Cassava Sciences,20210202,2021-02-02,volume_spike,141.15,13.39,True,15.18,True,HIGH,0.5864,0.0382,
SAVA,Cassava Sciences,20210203,2021-02-03,volume_spike,58.64,7.34,True,19.19,True,HIGH,-0.2788,-0.4396,
SAVA,Cassava Sciences,20210204,2021-02-04,volume_spike,-27.88,5.3,True,21.96,False,NONE,-0.2937,-0.2403,
SAVA,Cassava Sciences,20210730,2021-07-30,volume_spike,-32.72,5.16,False,102.0,False,NONE,0.1503,0.3866,
SAVA,Cassava Sciences,20211104,2021-11-04,volume_spike,48.96,5.83,True,51.06,True,HIGH,0.0771,-0.1418,
SAVA,Cassava Sciences,20220405,2022-04-05,volume_spike,-18.82,5.51,False,37.76,False,NONE,-0.065,-0.162,
SAVA,Cassava Sciences,20220727,2022-07-27,volume_spike,-13.95,10.93,False,24.12,False,NONE,-0.099,-0.0102,
SAVA,Cassava Sciences,20220817,2022-08-17,volume_spike,27.26,11.88,True,19.91,True,HIGH,0.0292,0.082,
SAVA,Cassava Sciences,20230124,2023-01-24,volume_spike,-19.21,7.33,False,31.41,False,NONE,-0.0662,-0.0489,
SAVA,Cassava Sciences,20230705,2023-07-05,volume_spike,-12.95,8.22,False,24.43,False,NONE,0.0395,0.0036,
SAVA,Cassava Sciences,20231013,2023-10-13,volume_spike,-15.28,8.18,False,17.78,False,NONE,-0.1494,-0.0565,
SAVA,Cassava Sciences,20240628,2024-06-28,volume_spike,-34.83,15.02,False,19.51,False,NONE,-0.017,-0.2032,
SAVA,Cassava Sciences,20240717,2024-07-17,volume_spike,-29.27,5.83,False,14.19,False,NONE,0.0637,0.2236,
SAVA,Cassava Sciences,20241125,2024-11-25,volume_spike,-83.76,19.75,False,25.49,False,NONE,-0.1093,-0.2209,
SAVA,Cassava Sciences,20241126,2024-11-26,volume_spike,-10.93,5.66,False,24.36,False,NONE,0.0392,-0.2298,
ACAD,ACADIA Pharmaceuticals,20190723,2019-07-23,volume_spike,-14.44,6.93,False,26.32,False,NONE,0.0356,0.1251,
ACAD,ACADIA Pharmaceuticals,20190909,2019-09-09,volume_spike,63.24,11.06,True,28.47,True,HIGH,0.061,0.1328,
ACAD,ACADIA Pharmaceuticals,20210309,2021-03-09,volume_spike,-45.35,13.15,False,47.96,False,NONE,0.0747,0.0927,
ACAD,ACADIA Pharmaceuticals,20220615,2022-06-15,volume_spike,15.51,8.7,True,16.91,True,HIGH,0.0394,-0.2158,
ACAD,ACADIA Pharmaceuticals,20220621,2022-06-21,volume_spike,-33.32,6.94,False,17.02,False,NONE,0.0323,0.0761,
ACAD,ACADIA Pharmaceuticals,20230714,2023-07-14,volume_spike,24.73,6.26,True,24.77,True,HIGH,0.0401,-0.0429,
ACAD,ACADIA Pharmaceuticals,20231213,2023-12-13,volume_spike,34.48,7.73,True,22.43,True,HIGH,-0.0144,0.0204,
HALO,Halozyme Therapeutics,20210224,2021-02-24,volume_spike,8.98,7.88,True,48.93,True,HIGH,-0.0805,-0.185,
ARQT,Arcutis Biotherapeutics,20200320,2020-03-20,volume_spike,32.07,5.75,True,25.96,True,HIGH,0.1074,-0.1792,
ARQT,Arcutis Biotherapeutics,20200619,2020-06-19,volume_spike,13.96,7.25,True,30.11,True,HIGH,0.0817,-0.0393,
ARQT,Arcutis Biotherapeutics,20201002,2020-10-02,volume_spike,-15.64,6.69,False,25.6,False,NONE,0.0146,0.0361,
ARQT,Arcutis Biotherapeutics,20201218,2020-12-18,volume_spike,-8.92,8.05,True,27.28,False,NONE,0.0017,0.0121,
ARQT,Arcutis Biotherapeutics,20210201,2021-02-01,volume_spike,30.38,5.91,True,27.98,True,HIGH,0.0146,0.0393,
ARQT,Arcutis Biotherapeutics,20210430,2021-04-30,volume_spike,9.66,7.45,True,28.92,True,HIGH,0.0373,0.0188,
ARQT,Arcutis Biotherapeutics,20231020,2023-10-20,volume_spike,-18.65,9.52,False,4.45,False,NONE,-0.0203,-0.0527,
IMVT,Immunovant,20200414,2020-04-14,volume_spike,10.29,7.02,True,13.28,True,HIGH,0.0501,0.0886,
IMVT,Immunovant,20200819,2020-08-19,volume_spike,12.9,5.09,True,25.69,True,HIGH,0.0351,0.1124,
IMVT,Immunovant,20200902,2020-09-02,volume_spike,10.9,7.4,True,30.92,True,HIGH,-0.0336,-0.0343,
IMVT,Immunovant,20210202,2021-02-02,volume_spike,-42.08,13.54,False,42.6,False,NONE,0.0714,-0.0231,
